"identity","extraverted","critical","dependable","anxious","open","reserved","sympathetic","disorganized","calm","conventional","af1","af2","af3","af4","af5","af6","af7","af8","af9","af10","af11","af12","af13","af14","af15","af16","af17","af18","af19","af20","age","region","education","urban","trust_eu","trust_nat","trust_loc","sex","age_mean","concealing","tolerating","adjusting","trust_index","extraversion","conscientiousness","neuroticism","openness","agreeableness","soc_trust","ideology","salience"
3002779,6,5,5,4,3,4,6,3,3,4,4,4,3,3,4,2,4,3,5,2,3,5,4,3,4,4,4,4,5,4,43,"Sjælland","Mellemlang videregående uddannelse 3-4 år","Udenfor bymæssig bebyggelse – landområde",8,8,8,"Female",2.06584,31,15,25,24,9,9,8,6,8,8,6,3
3002961,3,3,5,2,4,5,3,1,4,3,3,3,4,4,3,3,3,3,2,3,4,3,3,3,3,3,3,2,3,4,47,"Syddanmark","Grund-/folkeskole","Bymæssig bebyggelse 10.000-49.999 indbyggere",2,4,7,"Male",-1.93416,23,17,19,13,5,11,5,8,7,8,5,2
3003222,4,4,4,3,4,4,4,4,4,2,3,4,4,3,4,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,43,"Midtjylland","Lang videregående uddannelse 5 år eller mere","Bymæssig bebyggelse 50.000-100.000 indbyggere",1,1,3,"Female",2.06584,27,16,20,5,7,7,6,9,7,9,2,4
3003613,5,3,5,1,4,1,4,2,3,2,3,3,4,2,3,2,2,2,4,3,4,2,4,2,2,3,3,3,2,2,57,"Midtjylland","Grund-/folkeskole","Udenfor bymæssig bebyggelse – landområde",0,5,7,"Male",-11.93416,24,15,14,12,11,10,5,9,8,10,3,3
3003875,5,2,6,2,6,4,6,1,7,3,4,4,3,3,2,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,45,"Hovedstaden","Mellemlang videregående uddannelse 3-4 år","Hovedstadsområdet",7,9,9,"Male",0.065839998,23,14,19,25,8,12,2,10,11,6,9,4
3003987,6,5,5,4,5,2,4,3,4,3,3,2,4,3,3,4,3,3,2,2,4,4,2,2,2,4,4,3,4,4,48,"Hovedstaden","Lang videregående uddannelse 5 år eller mere","Hovedstadsområdet",2,5,8,"Male",-2.93416,21,18,20,15,11,9,7,9,6,7,7,3
3004084,2,6,7,2,4,1,4,1,4,2,3,3,3,4,4,3,3,3,5,4,3,3,3,3,5,3,3,3,1,3,64,"Hovedstaden","Lang videregående uddannelse 5 år eller mere","Hovedstadsområdet",8,8,8,"Male",-18.93416,30,15,17,24,8,13,5,9,5,10,7,2
3004357,4,5,6,3,3,5,4,2,5,5,5,4,4,4,5,5,4,4,5,3,5,2,5,2,4,3,4,5,3,5,51,"Syddanmark","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",3,4,6,"Male",-5.9341602,37,20,20,13,6,11,5,5,6,4,7,3
3004723,4,4,6,4,6,5,6,2,4,3,3,3,4,3,3,3,2,3,2,2,4,3,2,3,2,3,3,3,3,4,40,"Midtjylland","Lang videregående uddannelse 5 år eller mere","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",5,6,6,"Female",5.0658398,21,17,17,17,6,11,7,10,9,8,4,2
3004751,5,5,1,6,5,1,5,1,7,2,5,3,4,3,4,4,4,4,3,4,4,4,4,3,4,3,3,3,4,3,55,"Hovedstaden","Erhvervsfaglig uddannelse","Hovedstadsområdet",7,7,5,"Female",-9.9341602,30,18,21,19,11,7,6,10,7,6,2,3
3004755,6,6,6,2,6,2,5,2,6,2,5,5,5,3,4,3,4,4,5,5,5,5,5,4,5,4,5,4,4,5,39,"Hovedstaden","Mellemlang videregående uddannelse 3-4 år","Hovedstadsområdet",5,5,5,"Female",6.0658398,38,22,25,15,11,11,3,11,6,5,3,4
3005019,5,4,5,2,5,3,5,3,4,5,5,3,4,3,4,4,4,3,3,4,5,3,4,3,3,3,4,3,4,3,41,"Nordjylland","Mellemlang videregående uddannelse 3-4 år","Udenfor bymæssig bebyggelse – landområde",7,7,7,"Female",4.0658398,29,20,20,21,9,9,5,7,8,7,NA,2
3005644,3,2,5,6,4,3,4,1,3,3,2,3,4,2,4,4,2,4,4,2,4,2,2,3,3,4,4,3,3,3,57,"Nordjylland","Grund-/folkeskole","Bymæssig bebyggelse 10.000-49.999 indbyggere",6,8,8,"Female",-11.93416,23,19,16,22,7,11,10,8,9,7,4,2
3005724,2,4,6,4,3,5,5,3,3,3,4,4,3,4,4,3,4,2,4,4,4,4,4,3,4,4,3,2,4,3,60,"Midtjylland","Mellemlang videregående uddannelse 3-4 år","Udenfor bymæssig bebyggelse – landområde",0,0,0,"Male",-14.93416,29,16,24,0,4,10,8,7,8,8,2,2
3006661,7,7,7,1,6,2,7,2,7,5,4,5,5,3,2,3,3,3,3,5,5,3,3,4,5,4,2,3,5,5,57,"Hovedstaden","Erhvervsfaglig uddannelse","Hovedstadsområdet",3,2,3,"Male",-11.93416,30,19,23,8,12,12,1,8,7,9,7,5
3006904,6,7,7,1,7,3,6,1,6,4,4,5,5,4,4,5,4,4,5,2,5,5,5,5,5,4,5,3,5,5,40,"Midtjylland","Kort videregående uddannelse under 3 år","Bymæssig bebyggelse 10.000-49.999 indbyggere",9,9,9,"Male",5.0658398,33,25,27,27,10,13,2,10,6,8,7,3
3007057,4,3,5,4,5,4,5,3,5,5,4,4,4,4,4,2,4,3,4,4,4,3,4,4,4,2,4,4,3,4,37,"Hovedstaden","Lang videregående uddannelse 5 år eller mere","Hovedstadsområdet",6,7,6,"Female",8.0658398,32,18,20,19,7,9,6,7,9,7,8,2
3007435,5,5,6,2,7,2,5,4,5,4,2,4,5,3,1,5,5,5,5,3,5,5,2,5,5,5,4,3,5,5,37,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",3,5,5,"Male",8.0658398,26,24,27,13,10,9,4,10,7,10,8,3
3007448,2,2,4,3,2,5,5,2,4,6,4,4,3,2,4,4,3,3,4,3,4,3,2,4,3,3,4,4,3,3,57,"Nordjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",2,7,7,"Male",-11.93416,27,19,18,16,4,9,6,3,10,5,10,4
3007464,4,4,6,5,5,4,6,5,5,3,2,3,3,3,2,2,3,3,3,2,4,3,2,4,3,3,4,3,4,3,48,"Syddanmark","Lang videregående uddannelse 5 år eller mere","Bymæssig bebyggelse under 10.000 indbyggere",2,5,6,"Male",-2.93416,20,17,19,13,7,8,7,9,9,4,2,2
3007625,7,3,6,3,5,1,7,6,6,3,4,4,4,4,4,5,5,4,4,4,4,5,4,2,4,5,4,4,5,4,43,"Midtjylland","Kort videregående uddannelse under 3 år","Bymæssig bebyggelse 50.000-100.000 indbyggere",0,1,5,"Male",2.06584,32,19,28,6,13,7,4,9,11,4,3,2
3008176,6,6,6,2,6,5,6,2,6,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,57,"Syddanmark","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",7,8,9,"Male",-11.93416,29,20,24,24,8,11,3,9,7,8,8,4
3008412,5,7,7,4,6,3,6,2,6,1,2,3,5,2,3,4,4,3,3,2,5,4,2,4,2,4,4,3,4,5,55,"Nordjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",0,2,7,"Female",-9.9341602,22,22,21,9,9,12,5,12,6,5,10,3
3008949,3,5,6,2,4,5,6,1,7,5,5,5,4,4,4,2,4,2,5,5,2,5,5,3,5,5,2,5,5,5,71,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",0,0,3,"Male",-25.93416,39,13,28,3,5,12,2,6,8,8,6,2
3009108,3,5,5,3,3,4,4,5,6,5,2,4,3,3,2,4,2,4,2,3,4,3,2,3,3,3,3,2,3,2,40,"Midtjylland","Kort videregående uddannelse under 3 år","Bymæssig bebyggelse under 10.000 indbyggere",2,4,4,"Male",5.0658398,18,17,18,10,6,7,4,5,6,7,7,3
3009333,6,3,4,3,6,1,5,3,4,2,2,3,4,4,2,3,3,3,3,3,3,4,2,2,3,4,3,2,5,2,49,"Syddanmark","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",7,8,6,"Male",-3.93416,19,15,23,21,12,8,6,11,9,9,7,3
3009678,6,5,5,3,5,3,5,4,6,5,4,4,4,3,4,3,4,3,4,4,3,3,4,3,4,3,3,4,3,4,67,"Syddanmark","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse under 10.000 indbyggere",3,6,8,"Female",-21.93416,32,16,20,17,10,8,4,7,7,9,4,3
3009695,3,4,6,2,3,3,4,4,5,6,1,2,3,2,4,2,2,3,2,2,4,2,2,4,2,4,3,3,2,1,72,"Midtjylland","Lang videregående uddannelse 5 år eller mere","Bymæssig bebyggelse 10.000-49.999 indbyggere",0,2,4,"Male",-26.93416,17,16,14,6,7,9,4,4,7,5,10,3
3010275,3,5,5,1,4,4,2,2,5,4,4,4,2,3,3,2,2,4,4,4,4,2,4,2,4,2,2,2,3,3,70,"Syddanmark","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse 50.000-100.000 indbyggere",2,2,2,"Male",-24.93416,28,12,16,6,6,10,3,7,4,8,7,4
3010347,7,5,7,4,5,5,6,1,6,6,5,4,3,1,1,2,3,1,5,1,3,1,2,3,2,5,3,3,4,1,67,"Nordjylland","Almengymnasial uddannelse (studentereksamen/HF)","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",1,6,10,"Male",-21.93416,20,14,18,17,9,13,5,6,8,0,3,1
3010473,3,6,7,2,7,4,3,1,5,1,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,2,5,5,59,"Hovedstaden","Mellemlang videregående uddannelse 3-4 år","Hovedstadsområdet",0,3,5,"Male",-13.93416,34,25,30,8,6,13,4,13,4,2,6,4
3010567,4,4,4,2,3,3,4,4,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,2,3,3,64,"Sjælland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",6,7,8,"Female",-18.93416,22,14,17,21,8,7,6,7,7,4,2,3
3010792,6,5,7,2,5,2,6,4,7,3,2,1,5,4,2,5,5,2,1,1,5,5,1,4,1,4,4,2,5,1,49,"Syddanmark","Kort videregående uddannelse under 3 år","Bymæssig bebyggelse 50.000-100.000 indbyggere",8,8,9,"Male",-3.93416,11,23,24,25,11,10,2,9,8,8,5,3
3010810,6,5,6,3,5,3,5,1,6,4,3,4,4,4,2,4,3,4,4,3,4,3,3,2,3,2,4,3,2,2,66,"Syddanmark","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse 50.000-100.000 indbyggere",0,3,4,"Female",-20.93416,23,18,18,7,10,12,4,8,7,7,5,4
3010949,6,5,5,2,6,1,7,6,4,4,5,3,4,3,3,1,1,4,3,3,3,4,4,1,1,1,4,3,2,2,38,"Hovedstaden","Grund-/folkeskole","Bymæssig bebyggelse 10.000-49.999 indbyggere",4,7,0,"Male",7.0658398,24,13,14,11,12,6,5,9,9,0,8,4
3011453,5,6,5,2,7,1,4,1,4,4,5,2,4,2,1,3,2,4,3,3,5,5,4,2,5,5,5,1,5,4,55,"Syddanmark","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse under 10.000 indbyggere",3,2,6,"Female",-9.9341602,26,19,21,11,11,11,5,10,5,10,8,3
3011679,6,6,6,3,5,5,6,3,6,5,4,4,3,3,4,2,3,3,4,4,4,3,4,2,3,3,3,3,3,4,60,"Nordjylland","Erhvervsgymnasial uddannelse (HH/HTX/HHX)","Bymæssig bebyggelse under 10.000 indbyggere",5,8,8,"Male",-14.93416,30,14,19,21,8,10,4,7,7,8,4,3
3011733,5,3,5,2,5,6,6,1,5,4,5,4,5,3,2,5,5,5,5,1,5,4,4,5,2,3,5,3,5,5,52,"Sjælland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",2,4,7,"Male",-6.9341602,27,25,24,13,6,11,4,8,10,7,7,2
3012304,2,5,6,3,4,5,5,2,5,6,5,4,3,2,4,3,2,2,5,4,4,2,5,1,3,3,4,2,4,4,40,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",0,3,7,"Male",5.0658398,32,15,17,10,4,11,5,5,7,4,9,4
3012645,5,5,5,3,4,3,5,4,4,4,5,3,4,3,3,3,4,2,3,2,4,3,2,4,3,4,4,3,4,3,55,"Syddanmark","Erhvervsfaglig uddannelse","Udenfor bymæssig bebyggelse – landområde",5,7,7,"Female",-9.9341602,24,19,21,19,9,8,6,7,7,8,3,4
3012970,5,4,5,2,4,2,5,4,5,5,4,3,3,4,4,4,4,2,4,4,4,4,4,4,3,4,4,3,4,3,45,"Nordjylland","Erhvervsfaglig uddannelse","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",8,7,8,"Female",0.065839998,29,19,23,23,10,8,4,6,8,8,6,3
3013370,4,6,6,3,5,4,5,4,6,4,4,4,3,3,3,3,4,3,3,3,4,4,4,3,3,4,3,3,3,4,43,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",8,8,8,"Male",2.06584,27,16,22,24,7,9,4,8,6,7,3,3
3013472,5,6,5,4,6,3,6,2,3,4,2,2,4,3,2,1,4,4,2,3,5,5,4,1,4,3,3,3,4,2,38,"Syddanmark","Lang videregående uddannelse 5 år eller mere","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",5,6,6,"Female",7.0658398,22,14,21,17,9,10,8,9,7,7,6,2
3014035,6,4,7,2,6,3,7,2,7,3,4,5,4,4,5,1,5,3,5,4,4,4,4,1,4,4,4,4,3,4,45,"Hovedstaden","Kort videregående uddannelse under 3 år","Bymæssig bebyggelse 10.000-49.999 indbyggere",3,7,8,"Male",0.065839998,34,14,25,18,10,12,2,10,10,7,8,4
3014454,2,2,6,1,4,4,5,2,5,5,4,4,4,3,4,2,4,2,4,4,4,4,4,2,3,3,4,3,4,4,40,"Sjælland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",7,8,9,"Male",5.0658398,30,16,22,24,5,11,3,6,10,8,4,3
3014595,6,5,6,2,6,4,6,3,6,6,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,45,"Nordjylland","Erhvervsfaglig uddannelse","Udenfor bymæssig bebyggelse – landområde",5,8,8,"Female",0.065839998,24,16,18,21,9,10,3,7,8,7,4,3
3014735,4,4,6,3,5,4,5,3,4,3,4,3,4,3,4,3,3,3,3,2,4,2,2,3,3,2,4,2,2,3,59,"Midtjylland","Grund-/folkeskole","Bymæssig bebyggelse under 10.000 indbyggere",2,5,5,"Male",-13.93416,23,18,15,12,7,10,6,9,8,5,8,3
3015228,7,5,7,1,5,1,7,5,7,1,5,5,1,4,5,1,5,4,5,5,4,4,5,1,5,4,1,3,4,5,71,"Nordjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",2,2,2,"Female",-25.93416,38,8,26,6,13,9,1,11,9,0,5,2
3015301,7,7,6,2,7,1,6,2,4,1,2,3,5,5,2,4,4,4,2,2,4,3,2,4,4,4,4,1,5,4,74,"Sjælland","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse under 10.000 indbyggere",2,8,8,"Male",-28.93416,19,21,24,18,13,11,5,13,6,7,5,5
3015490,5,5,5,2,5,3,4,2,5,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,62,"Sjælland","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse 10.000-49.999 indbyggere",5,5,4,"Male",-16.93416,29,19,23,14,9,10,4,8,6,6,7,4
3015950,6,4,6,2,2,2,5,1,6,2,4,5,4,1,3,2,2,3,2,2,4,2,4,4,4,2,4,3,3,4,60,"Sjælland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",0,2,5,"Male",-14.93416,26,18,15,7,11,12,3,7,8,2,5,2
3016037,5,5,7,3,4,4,6,2,4,4,3,2,4,3,3,4,3,2,3,4,4,4,2,4,3,2,4,4,4,4,39,"Hovedstaden","Mellemlang videregående uddannelse 3-4 år","Hovedstadsområdet",2,6,8,"Female",6.0658398,26,20,18,16,8,12,6,7,8,9,3,2
3016252,5,4,5,3,3,1,3,1,4,3,4,3,3,4,4,3,2,4,5,4,3,3,4,1,4,3,3,3,3,4,69,"Sjælland","Erhvervsfaglig uddannelse","Udenfor bymæssig bebyggelse – landområde",0,4,4,"Female",-23.93416,32,13,18,8,11,11,6,7,6,6,5,3
3016417,3,6,6,3,5,4,5,2,4,3,3,3,3,2,3,3,4,3,3,2,3,4,3,3,3,3,2,3,4,3,56,"Sjælland","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse 10.000-49.999 indbyggere",2,4,5,"Male",-10.93416,23,14,20,11,6,11,6,9,6,5,4,3
3017192,7,7,6,3,6,1,3,4,5,3,4,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,4,3,37,"Midtjylland","Kort videregående uddannelse under 3 år","Bymæssig bebyggelse under 10.000 indbyggere",6,7,8,"Male",8.0658398,25,13,19,21,13,9,5,10,3,9,7,3
3017258,6,5,5,3,5,4,4,4,4,3,4,2,4,3,2,4,4,3,3,2,4,4,2,3,3,4,4,4,4,2,42,"Hovedstaden","Erhvervsfaglig uddannelse","Udenfor bymæssig bebyggelse – landområde",2,6,7,"Female",3.06584,22,19,21,15,9,8,6,9,6,6,7,3
3017877,5,5,5,2,6,3,6,1,5,2,4,5,3,4,4,2,5,2,5,3,3,5,2,2,3,5,4,2,5,5,53,"Sjælland","Lang videregående uddannelse 5 år eller mere","Bymæssig bebyggelse under 10.000 indbyggere",8,0,8,"Female",-7.9341602,28,14,29,16,9,11,4,11,8,10,1,4
3018086,6,5,5,2,5,2,5,5,5,3,5,5,4,4,3,3,3,2,5,3,4,3,4,2,5,3,4,3,4,4,41,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 50.000-100.000 indbyggere",0,1,8,"Male",4.0658398,32,17,22,9,11,7,4,9,7,9,4,2
3018166,2,2,3,1,5,5,4,2,6,5,3,4,3,4,4,3,2,2,3,2,4,2,4,3,3,2,2,3,3,2,59,"Midtjylland","Lang videregående uddannelse 5 år eller mere","Udenfor bymæssig bebyggelse – landområde",5,8,8,"Male",-13.93416,24,15,17,21,4,8,2,7,9,9,2,3
3018247,5,5,5,3,5,3,4,3,5,3,3,3,4,3,3,4,3,3,2,3,4,3,2,4,4,4,4,2,3,3,47,"Hovedstaden","Erhvervsfaglig uddannelse","Hovedstadsområdet",5,5,5,"Male",-1.93416,22,20,19,15,9,9,5,9,6,5,7,2
3018387,2,5,5,4,5,4,5,2,4,4,4,3,4,4,4,4,4,2,3,4,4,4,4,4,4,3,4,3,4,4,66,"Hovedstaden","Erhvervsfaglig uddannelse","Hovedstadsområdet",1,2,8,"Male",-20.93416,30,20,22,11,5,10,7,8,7,7,7,3
3018538,4,5,4,5,5,3,5,3,5,4,3,3,3,3,4,3,3,3,3,4,3,3,4,2,3,3,3,3,3,3,34,"Hovedstaden","Lang videregående uddannelse 5 år eller mere","Hovedstadsområdet",0,1,1,"Male",11.06584,27,14,18,2,8,8,7,8,7,5,10,2
3018912,4,5,5,3,5,2,5,2,4,4,2,3,4,4,2,3,5,3,3,3,4,4,4,2,3,4,4,5,5,3,48,"Midtjylland","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse 10.000-49.999 indbyggere",7,7,3,"Male",-2.93416,25,17,25,17,9,10,6,8,7,4,7,3
3019294,5,4,5,3,4,4,5,4,5,4,3,4,4,4,2,3,5,3,4,3,4,5,3,3,4,4,4,4,4,3,43,"Hovedstaden","Kort videregående uddannelse under 3 år","Hovedstadsområdet",5,7,7,"Female",2.06584,26,18,26,19,8,8,5,7,8,8,6,2
3019448,6,6,6,5,6,1,7,1,4,3,2,2,4,3,5,4,5,4,1,2,5,5,2,4,1,3,3,2,5,1,49,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",3,7,8,"Female",-3.93416,16,20,23,18,12,12,8,10,8,7,8,4
3019577,7,7,5,5,5,2,6,2,4,4,4,4,4,4,4,3,3,4,3,3,4,3,2,2,2,3,4,2,3,2,37,"Hovedstaden","Lang videregående uddannelse 5 år eller mere","Hovedstadsområdet",3,8,8,"Male",8.0658398,22,17,20,19,12,10,8,8,6,5,8,4
3020127,5,5,6,5,5,6,6,1,4,4,4,2,3,4,4,3,4,3,3,3,4,3,4,2,3,2,4,3,4,2,45,"Hovedstaden","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",3,5,5,"Male",0.065839998,26,16,19,13,6,12,8,8,8,6,7,2
3020303,5,4,7,3,5,4,5,2,4,5,4,4,4,4,2,4,3,3,5,3,3,3,3,4,3,4,4,3,4,2,62,"Sjælland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",2,3,7,"Male",-16.93416,25,19,22,12,8,12,6,7,8,7,0,4
3020410,3,3,5,4,3,5,5,2,5,3,4,3,4,2,3,3,2,3,4,3,4,4,4,2,2,3,3,3,3,4,44,"Hovedstaden","Erhvervsfaglig uddannelse","Udenfor bymæssig bebyggelse – landområde",3,8,8,"Female",1.06584,27,16,17,19,5,10,6,7,9,9,7,2
3020825,6,7,7,2,6,2,6,2,6,6,3,3,5,4,2,4,3,4,3,4,3,3,1,4,3,3,5,3,4,3,56,"Syddanmark","Erhvervsfaglig uddannelse","Udenfor bymæssig bebyggelse – landområde",3,5,8,"Female",-10.93416,22,21,20,16,11,12,3,7,6,9,10,3
3021740,7,7,7,2,5,2,6,2,5,2,4,3,5,4,2,4,5,3,3,4,4,5,3,3,3,5,5,4,5,4,70,"Hovedstaden","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse under 10.000 indbyggere",2,6,6,"Female",-24.93416,27,21,27,14,12,12,4,10,6,7,3,2
3021785,7,7,7,3,4,1,6,1,3,3,3,4,5,3,5,5,5,5,2,1,5,5,4,5,2,4,5,5,4,5,71,"Hovedstaden","Grund-/folkeskole","Hovedstadsområdet",0,5,10,"Female",-25.93416,27,25,25,15,13,13,7,8,6,5,6,4
3021958,4,6,6,2,5,5,6,3,5,6,4,4,4,3,4,4,5,4,3,3,5,3,4,4,3,3,5,2,4,3,60,"Hovedstaden","Erhvervsfaglig uddannelse","Hovedstadsområdet",6,6,6,"Male",-14.93416,26,22,22,18,6,10,4,6,7,6,4,4
3022167,5,7,6,1,6,3,7,2,6,4,4,4,4,3,5,3,4,2,4,4,4,4,4,2,4,3,4,2,3,3,42,"Hovedstaden","Erhvervsfaglig uddannelse","Hovedstadsområdet",4,8,9,"Male",3.06584,30,17,21,21,9,11,2,9,7,8,3,4
3023104,7,6,6,1,6,1,4,5,5,2,3,3,3,4,3,3,4,2,1,3,4,3,2,2,3,4,4,4,4,3,66,"Midtjylland","Erhvervsgymnasial uddannelse (HH/HTX/HHX)","Udenfor bymæssig bebyggelse – landområde",1,3,5,"Male",-20.93416,22,16,22,9,13,8,3,11,5,5,9,5
3023437,4,5,5,2,5,5,5,2,6,4,4,4,4,2,4,3,4,5,4,4,5,5,4,5,3,5,4,4,4,4,61,"Sjælland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",2,2,5,"Male",-15.93416,31,21,24,9,6,10,3,8,7,7,6,3
3023450,5,2,7,1,6,2,5,1,5,6,3,2,4,5,1,4,5,4,3,2,5,4,2,4,4,4,4,2,4,5,45,"Hovedstaden","Erhvervsfaglig uddannelse","Hovedstadsområdet",4,5,7,"Female",0.065839998,22,21,24,16,10,13,3,7,10,3,4,2
3024388,2,2,6,3,6,7,7,1,6,5,2,4,5,4,4,2,3,1,2,2,5,1,2,1,2,3,4,1,3,4,39,"Hovedstaden","Grund-/folkeskole","Bymæssig bebyggelse 10.000-49.999 indbyggere",1,7,7,"Female",6.0658398,19,17,18,15,2,12,4,8,12,7,7,3
