"identity","extraverted","critical","dependable","anxious","open","reserved","sympathetic","disorganized","calm","conventional","af1","af2","af3","af4","af5","af6","af7","af8","af9","af10","af11","af12","af13","af14","af15","af16","af17","af18","af19","af20","age","inputstate","region","education","urban","ideology","trust_fed","trust_nat","trust_loc","soc_trust","sex","concealing","tolerating","adjusting","trust_index","salience","age_mean","extraversion","agreeableness","conscientiousness","neuroticism","openness"
2103011,6,5,7,2,6,2,5,1,2,4,3,5,4,2,2,4,4,5,4,3,5,4,3,4,4,4,4,1,4,4,67,"Colorado","West","Post-grad","Suburb",9,0,2,5,3,"Female",24,21,28,7,4,-20.41205,11,7,13,7,9
2106376,4,5,4,3,6,4,5,4,5,2,3,3,5,4,3,4,3,4,3,2,5,3,4,5,4,4,4,5,3,4,52,"Illinois","South","Post-grad","Suburb",3,1,2,5,6,"Female",28,23,24,8,2,-5.4120498,7,7,7,5,11
2114440,4,3,7,2,5,5,3,2,6,4,2,4,5,4,5,2,5,4,4,4,4,3,4,4,5,3,2,4,4,5,61,"Washington","West","4-year","Rural area",10,0,2,3,8,"Female",33,17,27,5,3,-14.41205,6,7,12,3,8
2115608,4,5,7,5,7,6,7,1,4,2,2,3,3,5,4,4,3,4,2,2,4,4,2,4,3,4,3,4,3,3,68,"Maine","Northeast","4-year","Suburb",3,5,6,7,7,"Female",22,18,26,18,3,-21.41205,5,9,13,8,12
2122457,4,2,5,2,5,6,6,2,6,6,5,4,4,3,3,1,3,3,4,2,4,4,3,3,4,3,4,1,4,3,73,"California","West","Post-grad","Suburb",8,0,0,8,8,"Female",25,16,24,8,3,-26.41205,5,11,10,3,6
2122789,3,4,2,2,3,3,4,3,3,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,57,"New York","Northeast","Post-grad","Town",10,0,0,4,5,"Female",24,15,23,4,4,-10.41205,7,7,6,6,6
2123673,4,2,6,2,5,6,6,3,7,3,4,4,5,4,4,3,4,4,4,4,5,4,3,5,4,3,4,4,3,4,48,"Virginia","Midwest","Post-grad","Suburb",8,9,6,3,7,"Female",31,22,26,18,4,-1.41205,5,11,10,2,9
2124292,4,4,6,1,4,5,7,1,7,1,3,2,3,4,4,4,4,3,2,2,3,3,1,4,3,3,3,3,3,2,71,"Alabama","Midwest","4-year","Town",10,2,7,5,8,"Male",20,17,22,14,4,-24.41205,6,10,12,1,10
2131266,4,2,5,2,3,6,6,4,6,5,3,4,3,3,4,1,4,3,3,4,4,4,4,2,2,4,3,4,4,4,68,"Florida","Midwest","High school graduate","Rural area",9,0,4,7,3,"Male",28,13,26,11,4,-21.41205,5,11,8,3,5
2132721,6,3,6,3,6,2,5,6,6,2,3,3,3,3,4,3,2,2,3,3,4,3,3,5,3,4,4,1,2,3,61,"Louisiana","Midwest","Some college","Town",10,0,3,5,0,"Male",23,19,19,8,4,-14.41205,11,9,7,4,11
2141529,1,1,1,2,1,7,7,5,4,5,1,1,5,5,1,5,1,5,2,1,3,1,1,2,1,5,4,1,1,1,69,"New Jersey","Northeast","2-year","City",NA,5,0,0,5,"Male",9,19,19,5,3,-22.41205,1,13,3,5,3
2157757,6,6,6,2,6,4,5,1,6,1,2,3,1,2,4,3,3,1,1,1,5,4,1,3,1,3,5,5,4,2,65,"Colorado","West","Some college","City",5,0,5,5,2,"Male",17,17,20,10,4,-18.41205,9,6,12,3,12
2158907,5,6,7,1,7,7,6,3,7,2,4,4,4,4,2,4,2,4,4,4,4,4,4,5,4,4,4,2,4,4,49,"Florida","Midwest","2-year","Suburb",8,0,8,9,7,"Female",28,21,26,17,2,-2.41205,5,7,11,1,12
2164496,4,7,7,1,4,4,6,1,7,3,1,4,4,2,2,3,3,4,3,3,3,3,2,2,2,2,4,3,4,4,74,"Kentucky","Midwest","4-year","Rural area",8,0,1,5,6,"Female",20,16,22,6,1,-27.41205,7,6,13,1,8
2165159,2,4,5,3,5,3,4,2,2,2,4,2,3,3,2,3,2,4,2,2,2,2,4,3,2,4,3,3,3,4,68,"Ohio","South","Post-grad","Town",5,2,2,2,8,"Female",23,14,20,6,2,-21.41205,6,7,10,8,10
2165692,2,4,5,3,4,5,5,4,5,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,4,2,3,3,57,"Colorado","West","Post-grad","City",0,8,7,6,7,"Female",22,16,20,21,4,-10.41205,4,8,8,5,8
2165737,4,3,5,4,5,5,4,3,4,5,3,2,3,3,3,4,4,4,2,3,3,3,2,4,2,3,2,3,3,2,56,"Minnesota","South","4-year","Suburb",9,2,4,3,2,"Female",20,16,22,9,3,-9.4120502,6,8,9,7,7
2179942,5,5,7,2,3,4,2,1,6,4,1,4,4,4,3,1,3,3,5,2,5,3,2,4,5,3,2,1,3,2,71,"Illinois","South","2-year","Town",9,1,1,5,1,"Female",21,16,23,7,4,-24.41205,8,4,13,3,6
2180284,5,2,7,2,6,6,6,2,7,2,4,4,4,3,3,3,4,3,4,4,4,3,4,3,3,3,4,4,3,4,60,"Ohio","South","Post-grad","City",9,0,2,2,7,"Female",30,18,23,4,3,-13.41205,6,11,12,2,11
2187207,3,5,6,3,5,6,6,6,5,5,3,3,2,4,4,2,4,3,4,3,2,4,2,4,4,4,3,2,4,4,51,"Arizona","West","Post-grad","City",2,5,1,7,7,"Female",26,13,26,13,4,-4.4120498,4,8,7,5,7
2188435,3,3,6,3,5,6,5,3,6,2,4,3,4,3,4,2,4,1,4,2,5,4,2,2,4,4,3,2,2,2,64,"Kansas","South","4-year","Suburb",8,1,3,4,1,"Female",24,16,21,8,3,-17.41205,4,9,10,4,10
2189841,2,2,6,1,6,6,6,2,5,1,3,4,4,4,4,2,5,3,4,3,4,4,3,4,4,2,4,4,3,4,61,"Pennsylvania","Northeast","Post-grad","Town",3,0,4,7,7,"Female",29,18,25,11,3,-14.41205,3,11,11,3,12
2190880,4,4,6,1,7,5,3,2,6,2,5,5,4,2,1,4,2,4,1,1,4,3,5,4,5,4,4,1,2,1,45,"Arizona","West","Some college","Suburb",8,2,6,7,8,"Female",20,20,22,15,1,1.58795,6,6,11,2,12
2193856,4,3,6,3,3,3,5,1,4,2,1,3,3,3,2,3,3,4,3,5,4,2,4,3,3,3,4,3,3,3,57,"Florida","Midwest","Some college","Other",10,0,1,4,4,"Female",24,17,21,5,4,-10.41205,8,9,12,6,8
2194469,7,1,7,2,7,3,6,7,7,1,4,4,4,3,2,2,5,4,3,2,4,5,4,4,2,4,2,4,5,3,71,"California","West","Post-grad","City",7,0,0,0,9,"Female",24,16,30,0,4,-24.41205,11,12,7,2,13
2201081,4,5,7,7,4,4,4,1,4,4,1,3,5,1,1,3,1,1,1,1,5,1,1,3,1,1,2,1,3,1,58,"New Jersey","Northeast","4-year","Rural area",10,0,3,7,0,"Female",8,18,11,10,4,-11.41205,7,6,13,10,7
2202697,6,2,6,2,4,3,4,4,5,3,2,4,4,4,3,3,4,4,2,3,3,4,3,4,2,4,4,2,4,3,74,"Tennessee","Midwest","4-year","Rural area",3,4,2,9,7,"Female",20,18,28,15,4,-27.41205,10,9,9,4,8
2224532,1,5,4,2,5,7,4,2,6,1,2,4,4,1,3,2,4,2,2,2,4,2,2,4,2,2,3,1,2,3,47,"California","West","4-year","Town",2,1,1,1,2,"Female",17,17,17,3,4,-0.41205001,1,6,9,3,11
2225747,7,5,7,4,7,3,5,1,3,2,3,4,3,4,3,3,2,2,4,2,3,4,3,3,4,3,3,2,3,4,70,"Ohio","South","4-year","Rural area",10,0,1,2,4,"Female",25,15,22,3,4,-23.41205,11,7,13,8,12
2229287,6,1,4,1,6,5,6,4,7,1,5,4,4,5,4,2,5,5,5,4,3,5,4,3,5,5,2,2,5,5,66,"Wisconsin","South","Post-grad","Rural area",2,3,4,7,8,"Female",34,14,34,14,2,-19.41205,8,12,7,1,12
2232404,2,4,3,4,4,4,5,2,5,6,2,3,4,2,3,3,1,2,1,1,4,1,1,3,2,2,4,2,1,4,30,"North Carolina","Midwest","4-year","City",0,0,4,7,6,"Male",16,18,12,11,3,16.58795,5,8,8,6,5
2255973,3,3,4,5,1,6,7,4,6,2,5,3,4,3,3,3,3,2,4,2,5,3,4,3,3,4,3,1,2,3,49,"California","West","2-year","Rural area",7,0,0,4,2,"Male",25,18,20,4,4,-2.41205,4,11,7,6,6
2258544,5,4,6,2,6,2,2,4,5,4,4,5,5,4,5,3,4,3,4,2,5,4,2,4,4,4,4,3,4,5,53,"Missouri","South","Post-grad","Rural area",10,3,8,8,7,"Female",29,21,28,19,4,-6.4120498,10,5,9,4,9
2272227,2,2,6,2,5,5,4,4,6,2,3,4,4,2,4,2,1,2,4,4,4,1,2,4,4,3,2,4,1,4,51,"District of Columbia","Midwest","Some college","City",4,1,2,3,5,"Female",29,16,14,6,2,-4.4120498,4,9,9,3,10
2273477,6,3,7,4,7,2,7,1,7,1,2,4,4,3,2,4,4,3,2,2,4,5,2,3,5,4,5,1,3,5,56,"New Mexico","West","2-year","City",5,5,5,5,10,"Male",21,20,26,15,4,-9.4120502,11,11,13,4,13
2292285,3,5,6,2,4,6,5,1,7,1,1,3,3,3,2,1,3,3,4,2,2,2,3,2,2,2,2,2,3,2,61,"Florida","Midwest","Some college","Suburb",0,8,10,6,4,"Female",18,10,19,24,3,-14.41205,4,7,12,2,10
2298843,6,1,7,1,7,5,6,3,7,2,3,5,5,5,4,3,5,3,3,3,4,4,3,3,4,4,3,1,5,5,61,"Washington","West","Post-grad","Rural area",6,8,7,9,8,"Female",26,18,31,24,2,-14.41205,8,12,11,1,12
2303476,4,1,7,3,6,5,6,2,6,3,4,4,2,4,1,2,5,5,1,1,4,2,2,3,4,2,2,1,3,3,63,"Virginia","Midwest","4-year","City",2,1,3,3,4,"Male",17,13,25,7,2,-16.41205,6,12,12,4,10
2305854,5,4,6,2,5,3,5,1,5,3,3,4,3,3,3,3,2,3,3,2,2,2,2,2,2,4,2,4,3,4,64,"Ohio","South","4-year","Suburb",7,3,4,5,8,"Female",23,12,21,12,2,-17.41205,9,8,12,4,9
2308081,1,4,6,4,4,6,5,2,6,4,4,3,5,2,3,4,1,3,4,4,4,2,4,4,3,3,4,1,2,4,59,"Pennsylvania","Northeast","Some college","Suburb",9,0,1,1,2,"Male",27,21,16,2,2,-12.41205,2,8,11,5,7
2313302,6,1,6,2,4,3,5,2,6,1,3,5,5,3,4,5,4,5,3,3,5,4,2,2,4,3,5,2,4,3,63,"Pennsylvania","Northeast","Post-grad","City",2,6,1,9,8,"Female",24,22,28,16,4,-16.41205,10,11,11,3,10
2314305,7,7,7,1,6,7,7,1,7,1,4,4,4,4,5,4,4,4,5,4,5,5,5,4,4,4,5,4,5,4,51,"Missouri","South","4-year","City",10,2,2,2,8,"Female",35,22,30,6,4,-4.4120498,7,7,13,1,12
2316925,3,1,6,3,5,6,5,2,7,2,4,5,5,2,4,3,4,4,4,4,4,4,4,4,4,2,4,2,4,5,64,"Washington","West","Some college","Suburb",1,5,8,7,6,"Female",31,20,25,20,3,-17.41205,4,11,11,3,10
2338029,3,1,7,2,4,7,7,4,7,4,3,4,4,3,3,3,4,4,3,1,5,5,4,5,3,4,3,3,5,2,60,"Missouri","South","4-year","Suburb",8,0,3,9,3,"Male",22,20,29,12,3,-13.41205,3,13,10,2,7
2341769,4,4,6,1,6,6,4,1,6,4,3,4,4,4,2,3,5,5,2,3,4,4,3,3,3,4,3,2,4,3,56,"Washington","West","Post-grad","City",0,8,8,8,8,"Female",21,17,30,24,2,-9.4120502,5,7,12,2,9
2348947,3,5,6,3,3,5,4,2,4,4,3,4,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,3,3,3,68,"Illinois","South","Post-grad","Suburb",9,1,2,7,6,"Female",24,18,24,10,4,-21.41205,5,6,11,6,6
2353752,3,3,7,4,6,6,4,2,6,2,2,4,4,2,2,4,4,4,2,2,4,3,3,3,2,4,4,1,3,4,63,"Rhode Island","Northeast","Post-grad","Other",1,7,5,9,7,"Female",18,19,24,21,4,-16.41205,4,8,12,5,11
2384784,5,4,5,2,5,3,6,2,6,2,3,4,3,3,2,3,2,4,4,2,4,4,3,3,3,3,4,3,3,4,60,"Kansas","South","4-year","Suburb",4,8,1,7,7,"Female",24,17,23,16,4,-13.41205,9,9,10,3,10
2385686,1,4,5,5,5,7,2,3,4,6,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,4,3,2,3,3,46,"Ohio","South","Some college","City",3,0,2,7,3,"Female",23,15,22,9,2,0.58794999,1,5,9,8,6
2393579,5,4,6,4,5,5,4,3,6,3,4,4,5,3,3,2,5,4,3,3,5,5,3,5,3,4,5,2,5,3,36,"Kentucky","Midwest","4-year","Rural area",7,1,5,7,6,"Female",24,22,30,13,4,10.58795,7,7,10,5,9
2402685,4,3,3,2,5,5,6,6,6,3,3,3,3,3,4,3,3,2,3,4,4,4,4,3,3,4,5,4,4,3,60,"West Virginia","Midwest","4-year","Suburb",2,4,4,4,6,"Male",28,18,23,12,4,-13.41205,6,10,4,3,9
2409285,6,1,6,1,7,2,6,1,7,1,4,5,5,5,4,2,3,4,4,4,4,5,5,4,3,5,3,2,4,5,73,"Texas","Midwest","Some college","Town",1,8,8,10,9,"Female",31,18,31,26,4,-26.41205,11,12,12,1,13
2409489,6,1,6,1,4,4,5,1,7,4,2,5,4,5,5,1,5,5,4,5,1,5,4,3,5,4,3,3,5,5,55,"Michigan","South","Some college","Suburb",8,0,4,5,6,"Female",33,12,34,9,2,-8.4120502,9,11,12,1,7
2409941,3,1,4,2,5,4,4,5,7,2,2,4,2,3,2,2,3,4,3,3,4,3,2,2,2,2,3,3,3,2,55,"North Carolina","Midwest","4-year","Town",7,3,2,6,4,"Male",19,13,22,11,2,-8.4120502,6,10,6,2,10
2411977,6,1,6,4,5,3,6,3,3,1,1,4,5,2,2,2,3,1,2,1,4,2,1,2,2,3,4,2,1,3,65,"Minnesota","South","Post-grad","Suburb",0,3,7,8,8,"Female",14,17,16,18,3,-18.41205,10,12,10,8,11
2413345,4,4,6,2,6,2,6,2,7,2,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,48,"Indiana","South","Some college","Rural area",10,2,4,1,5,"Male",24,16,22,7,4,-1.41205,9,9,11,2,11
2414993,6,5,7,3,6,2,5,1,5,3,4,5,5,4,4,4,5,5,3,4,5,5,3,5,4,5,3,3,5,5,65,"New York","Northeast","4-year","Rural area",7,0,3,7,7,"Female",30,22,34,10,4,-18.41205,11,7,13,5,10
2420562,4,3,4,5,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,4,3,3,3,3,2,3,2,2,3,54,"Tennessee","Midwest","Some college","City",8,1,3,3,3,"Female",23,16,16,7,4,-7.4120498,8,7,8,9,7
2429892,4,6,6,5,3,7,5,2,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,3,5,5,3,5,54,"Ohio","South","Some college","Town",10,4,6,8,7,"Female",39,25,30,18,3,-7.4120498,4,6,11,6,4
2451279,5,4,5,2,5,2,5,3,6,4,3,3,3,2,2,4,3,2,3,4,5,3,3,3,4,3,4,3,3,3,47,"Texas","Midwest","Some college","Suburb",2,3,3,3,3,"Female",25,19,19,9,4,-0.41205001,10,8,9,3,8
2462965,5,3,6,2,6,5,6,1,6,2,3,4,4,3,2,4,4,4,3,3,2,4,4,4,3,4,4,2,4,4,50,"Pennsylvania","Northeast","Post-grad","Suburb",8,1,2,7,7,"Female",24,18,27,10,4,-3.41205,7,10,12,3,11
2463742,1,4,6,5,3,7,6,1,4,4,2,3,2,4,2,1,3,4,3,2,4,2,2,3,2,2,2,1,1,3,63,"New Mexico","West","Post-grad","Suburb",4,1,2,7,5,"Male",17,12,19,10,3,-16.41205,1,9,12,8,6
2481570,4,5,5,3,6,4,5,1,5,2,4,4,4,3,3,2,4,4,2,2,5,2,3,5,3,4,3,4,4,5,39,"North Carolina","Midwest","2-year","Suburb",7,4,7,0,2,"Female",26,19,25,11,3,7.5879502,7,7,11,5,11
2492774,5,2,5,2,6,4,6,1,6,3,3,4,2,4,4,2,4,4,4,3,2,3,2,3,3,4,2,2,3,4,53,"California","West","Post-grad","City",2,3,9,5,5,"Female",25,11,26,17,4,-6.4120498,8,11,11,3,10
2499990,6,4,3,2,6,1,5,4,3,4,1,3,3,4,3,4,3,3,1,2,3,3,3,4,2,4,3,1,3,3,48,"Texas","Midwest","Post-grad","Suburb",7,4,5,7,7,"Male",16,17,23,16,2,-1.41205,12,8,6,6,9
2504016,6,3,3,5,7,3,4,5,3,2,2,4,4,3,5,3,5,2,2,1,4,5,2,2,2,2,4,3,4,2,45,"Texas","Midwest","2-year","City",3,1,8,5,6,"Male",19,17,25,14,3,1.58795,10,8,5,9,12
2531584,2,7,6,4,5,7,5,1,7,5,3,2,3,3,5,3,3,3,2,2,5,3,3,2,2,4,4,3,3,1,61,"Florida","Midwest","4-year","Town",10,0,2,3,0,"Female",21,17,21,5,4,-14.41205,2,5,12,4,7
2535711,4,5,7,2,3,2,2,1,4,1,1,4,4,3,5,5,2,2,5,2,5,3,5,2,5,3,3,4,2,4,60,"Wisconsin","South","2-year","Other",5,3,0,7,4,"Female",31,19,19,10,4,-13.41205,9,4,13,5,9
2538918,5,1,6,3,4,5,7,1,5,4,3,2,4,3,3,3,3,3,3,4,4,3,2,3,3,4,4,4,3,3,50,"New Jersey","Northeast","4-year","Suburb",2,7,7,7,5,"Female",25,18,21,21,2,-3.41205,7,13,12,5,7
2543873,6,2,7,2,6,3,6,1,7,2,4,5,5,1,1,4,1,1,2,1,5,2,4,4,1,5,5,1,4,5,56,"North Carolina","Midwest","4-year","City",3,5,7,6,7,"Female",19,23,19,18,4,-9.4120502,10,11,13,2,11
2545792,7,4,6,2,7,1,7,3,5,3,1,3,4,3,2,3,4,4,2,1,4,4,3,4,3,4,2,3,4,4,49,"New Mexico","West","2-year","Suburb",9,2,6,8,5,"Male",19,17,26,16,3,-2.41205,13,10,10,4,11
2548059,3,4,6,4,4,6,6,4,6,5,2,3,3,2,4,2,3,2,2,2,5,3,3,2,4,2,3,2,2,1,48,"North Carolina","Midwest","Post-grad","Suburb",3,6,5,7,3,"Female",20,15,17,18,2,-1.41205,4,9,9,5,6
2548460,4,3,5,3,4,6,5,4,6,1,4,4,4,4,5,1,2,3,4,5,5,4,4,5,4,4,3,1,4,4,37,"Wisconsin","South","Some college","Rural area",8,0,0,2,4,"Male",31,18,25,2,3,9.5879498,5,9,8,4,10
2570105,4,2,7,1,5,6,6,2,7,3,4,4,4,4,4,3,5,5,4,4,4,4,4,4,4,4,3,4,4,4,61,"Florida","Midwest","4-year","Suburb",8,3,5,6,5,"Female",32,18,30,14,4,-14.41205,5,11,12,1,9
2577207,5,4,5,5,4,3,2,1,5,1,4,4,4,4,3,4,4,5,4,4,5,3,4,4,4,4,4,4,4,4,34,"Wisconsin","South","4-year","Suburb",9,0,10,10,2,"Female",31,21,28,20,4,12.58795,9,5,11,7,10
2577862,5,3,5,3,6,4,6,2,2,4,4,4,3,4,3,3,4,5,4,4,4,5,4,4,4,5,3,4,5,4,53,"Ohio","South","High school graduate","Suburb",4,2,2,6,8,"Female",31,17,32,10,4,-6.4120498,8,10,10,8,9
2579159,3,2,6,2,6,5,4,3,5,5,2,4,3,3,2,3,4,3,2,2,3,4,2,3,2,3,4,1,4,2,64,"California","West","2-year","City",6,4,3,8,10,"Female",15,16,25,15,2,-17.41205,5,9,10,4,8
2594679,2,1,5,1,6,7,7,4,7,1,4,3,3,3,4,2,4,2,5,4,5,2,5,3,5,3,2,5,3,5,56,"Arizona","West","Some college","City",5,10,1,7,9,"Male",37,15,20,18,4,-9.4120502,2,13,8,1,12
2609611,2,3,4,5,4,5,5,4,3,1,4,2,3,3,3,2,2,1,3,3,4,2,2,2,4,1,2,3,2,3,39,"Oklahoma","Midwest","2-year","Suburb",3,6,0,5,7,"Female",25,13,13,11,2,7.5879502,4,9,7,9,10
2654160,4,2,6,1,6,2,6,3,7,4,1,5,4,3,4,3,4,2,2,1,4,3,2,2,4,4,3,1,3,4,64,"Washington","West","4-year","Suburb",5,2,5,7,8,"Female",19,16,24,14,4,-17.41205,9,11,10,1,9
2655614,1,2,6,2,6,1,5,1,4,2,4,3,4,1,4,4,3,2,3,4,5,3,3,4,2,3,4,3,4,3,68,"California","West","4-year","Suburb",2,1,9,5,7,"Female",26,21,19,15,3,-21.41205,7,10,12,5,11
11012068,5,4,7,3,6,1,7,1,6,2,2,5,4,2,3,3,2,3,2,2,4,3,2,2,3,3,5,2,2,2,47,"Mississippi","Midwest","4-year","Rural area",10,0,5,10,6,"Female",18,18,20,15,4,-0.41205001,11,10,13,4,11
11028732,4,2,6,2,5,2,7,2,6,4,4,4,4,3,3,3,4,2,2,3,2,4,2,4,3,4,4,2,4,2,61,"Texas","Midwest","4-year","City",4,5,0,8,5,"Male",21,17,25,13,3,-14.41205,9,12,11,3,8
11040099,2,3,3,4,4,3,6,7,4,3,5,4,2,4,5,3,3,2,4,3,4,3,5,1,4,2,3,1,3,3,38,"South Carolina","Midwest","Post-grad","Suburb",9,0,6,NA,3,"Male",30,13,21,NA,3,8.5879498,6,10,3,7,8
11048707,4,4,5,3,7,4,7,2,6,1,1,4,4,4,3,2,4,4,3,2,3,3,3,4,3,5,3,3,4,3,58,"California","West","4-year","City",2,4,2,2,5,"Male",21,16,28,8,4,-11.41205,7,10,10,4,13
11049381,5,5,6,2,6,4,4,1,6,4,4,3,4,4,3,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,70,"Arizona","West","Some college","City",10,0,8,0,9,"Female",32,20,26,8,4,-23.41205,8,6,12,3,9
11049631,5,3,4,2,6,4,7,4,6,2,2,3,4,2,2,2,3,4,2,1,4,1,2,3,3,3,4,2,3,3,59,"Iowa","South","Some college","Suburb",4,1,7,9,8,"Male",17,17,19,17,4,-12.41205,8,11,7,3,11
11050028,7,5,7,4,5,3,4,3,6,3,4,3,4,1,2,5,4,4,3,1,1,3,4,3,3,3,3,2,3,3,47,"Texas","Midwest","High school graduate","Suburb",10,0,2,1,2,"Female",22,16,21,3,4,-0.41205001,11,6,11,5,9
11073730,3,3,4,4,6,2,7,5,5,1,5,3,3,2,4,2,5,2,4,3,5,2,3,2,5,3,4,5,5,5,24,"Connecticut","Northeast","4-year","City",4,0,0,0,8,"Female",34,16,22,0,4,22.58795,8,11,6,6,12
